order_id;order_date;customer_id;city;sales_channel;product_name;category;quantity;unit_price;unit_cost;discount_pct;shipping_fee;gross_revenue;discount_amount;net_revenue;profit
O00668;01.01.2025;C0327;Aktobe;Email;Notebook Set;Office;3;12.май;04.янв;5;июн.99;37.5;янв.88;42.62;30.32
O01051;02.01.2025;C0063;Aktobe;Social Media;Notebook Set;Office;3;12.май;04.янв;0;июн.99;37.5;0.0;44.49;32.19
O01085;02.01.2025;C0219;Atyrau;Organic;Resistance Bands;Sports;2;18.сен;06.фев;10;июн.99;37.8;мар.78;41.01;28.61
O00268;03.01.2025;C0282;Astana;Email;Coffee Mug;Home;1;11.сен;03.сен;0;фев.99;11.сен;0.0;14.89;окт.99
O00545;03.01.2025;C0170;Karaganda;Paid Search;Resistance Bands;Sports;1;18.сен;06.фев;0;апр.99;18.сен;0.0;23.89;17.69
O00758;03.01.2025;C0160;Almaty;Referral;Wireless Mouse;Electronics;1;24.сен;10.май;10;0;24.сен;фев.49;22.41;ноя.91
O00877;03.01.2025;C0280;Aktobe;Social Media;USB-C Cable;Electronics;4;09.сен;03.фев;15;фев.99;39.6;май.94;36.65;23.85
O00313;04.01.2025;C0212;Astana;Paid Search;Wireless Mouse;Electronics;3;24.сен;10.май;0;0;74.7;0.0;74.7;43.2
O00747;04.01.2025;C0059;Atyrau;Social Media;Notebook Set;Office;3;12.май;04.янв;0;апр.99;37.5;0.0;42.49;30.19
O00835;04.01.2025;C0092;Almaty;Referral;USB-C Cable;Electronics;1;09.сен;03.фев;0;0;09.сен;0.0;09.сен;06.июл
O01028;04.01.2025;C0126;Karaganda;Social Media;Mechanical Keyboard;Electronics;3;79.9;38.0;0;июн.99;239.7;0.0;246.69;132.69
O00038;05.01.2025;C0235;Aktobe;Referral;Notebook Set;Office;1;12.май;04.янв;15;0;12.май;янв.88;окт.62;июн.53
O00510;05.01.2025;C0071;Atyrau;Paid Search;Mechanical Keyboard;Electronics;1;79.9;38.0;10;0;79.9;июл.99;71.91;33.91
O01079;05.01.2025;C0114;Atyrau;Organic;Mechanical Keyboard;Electronics;1;79.9;38.0;20;июн.99;79.9;15.98;70.91;32.91
O01127;05.01.2025;C0154;Shymkent;Social Media;Laptop Stand;Office;2;34.9;14.0;20;апр.99;69.8;13.96;60.83;32.83
O01132;05.01.2025;C0256;Atyrau;Social Media;Desk Lamp;Home;1;29.сен;11.авг;15;апр.99;29.сен;апр.49;30.41;18.61
O00518;06.01.2025;C0330;Astana;Referral;USB-C Cable;Electronics;3;09.сен;03.фев;5;0;29.июл;янв.49;28.22;18.62
O00562;06.01.2025;C0284;Aktobe;Paid Search;Notebook Set;Office;2;12.май;04.янв;15;апр.99;25.0;мар.75;26.24;18.апр
O00746;06.01.2025;C0328;Astana;Social Media;Wireless Mouse;Electronics;1;24.сен;10.май;5;фев.99;24.сен;янв.25;26.64;16.14
O00974;06.01.2025;C0241;Astana;Social Media;Desk Lamp;Home;2;29.сен;11.авг;5;0;59.8;фев.99;56.81;33.21
O00082;07.01.2025;C0216;Karaganda;Organic;Coffee Mug;Home;2;11.сен;03.сен;0;апр.99;23.авг;0.0;28.79;20.99
O00315;07.01.2025;C0009;Aktobe;Social Media;Yoga Mat;Sports;2;26.сен;09.июл;0;июн.99;53.8;0.0;60.79;41.39
O00461;07.01.2025;C0320;Aktobe;Referral;Resistance Bands;Sports;1;18.сен;06.фев;0;июн.99;18.сен;0.0;25.89;19.69
O00674;07.01.2025;C0107;Atyrau;Email;Notebook Set;Office;1;12.май;04.янв;0;0;12.май;0.0;12.май;08.апр
O00732;07.01.2025;C0235;Karaganda;Email;USB-C Cable;Electronics;5;09.сен;03.фев;0;апр.99;49.5;0.0;54.49;38.49
O00803;07.01.2025;C0148;Karaganda;Email;Coffee Mug;Home;1;11.сен;03.сен;0;июн.99;11.сен;0.0;18.89;14.99
O01187;07.01.2025;C0060;Almaty;Email;Notebook Set;Office;1;12.май;04.янв;5;фев.99;12.май;0.62;14.87;окт.77
O00274;08.01.2025;C0173;Shymkent;Referral;USB-C Cable;Electronics;2;09.сен;03.фев;5;фев.99;19.авг;0.99;21.авг;15.апр
O00852;08.01.2025;C0220;Atyrau;Paid Search;Laptop Stand;Office;2;34.9;14.0;15;апр.99;69.8;окт.47;64.32;36.32
O00255;09.01.2025;C0189;Shymkent;Organic;Resistance Bands;Sports;2;18.сен;06.фев;5;июн.99;37.8;янв.89;42.9;30.май
O00322;09.01.2025;C0107;Aktobe;Paid Search;Resistance Bands;Sports;2;18.сен;06.фев;0;апр.99;37.8;0.0;42.79;30.39
O00856;09.01.2025;C0246;Atyrau;Social Media;Desk Lamp;Home;1;29.сен;11.авг;5;0;29.сен;01.май;28.апр;16.июн
O01075;09.01.2025;C0069;Atyrau;Organic;Desk Lamp;Home;1;29.сен;11.авг;20;апр.99;29.сен;май.98;28.91;17.ноя
