order_id;order_date;customer_id;city;sales_channel;product_name;category;quantity;unit_price;unit_cost;discount_pct;shipping_fee;gross_revenue;discount_amount;net_revenue;profit
O00668;2025-01-01;C0327;Aktobe;Email;Notebook Set;Office;3;12,5;4,1;5;6,99;37,5;1,88;42,62;30,32
O01051;2025-01-02;C0063;Aktobe;Social Media;Notebook Set;Office;3;12,5;4,1;0;6,99;37,5;0,0;44,49;32,19
O01085;2025-01-02;C0219;Atyrau;Organic;Resistance Bands;Sports;2;18,9;6,2;10;6,99;37,8;3,78;41,01;28,61
O00268;2025-01-03;C0282;Astana;Email;Coffee Mug;Home;1;11,9;3,9;0;2,99;11,9;0,0;14,89;10,99
O00545;2025-01-03;C0170;Karaganda;Paid Search;Resistance Bands;Sports;1;18,9;6,2;0;4,99;18,9;0,0;23,89;17,69
O00758;2025-01-03;C0160;Almaty;Referral;Wireless Mouse;Electronics;1;24,9;10,5;10;0;24,9;2,49;22,41;11,91
O00877;2025-01-03;C0280;Aktobe;Social Media;USB-C Cable;Electronics;4;9,9;3,2;15;2,99;39,6;5,94;36,65;23,85
O00313;2025-01-04;C0212;Astana;Paid Search;Wireless Mouse;Electronics;3;24,9;10,5;0;0;74,7;0,0;74,7;43,2
O00747;2025-01-04;C0059;Atyrau;Social Media;Notebook Set;Office;3;12,5;4,1;0;4,99;37,5;0,0;42,49;30,19
O00835;2025-01-04;C0092;Almaty;Referral;USB-C Cable;Electronics;1;9,9;3,2;0;0;9,9;0,0;9,9;6,7
O01028;2025-01-04;C0126;Karaganda;Social Media;Mechanical Keyboard;Electronics;3;79,9;38,0;0;6,99;239,7;0,0;246,69;132,69
O00038;2025-01-05;C0235;Aktobe;Referral;Notebook Set;Office;1;12,5;4,1;15;0;12,5;1,88;10,62;6,53
O00510;2025-01-05;C0071;Atyrau;Paid Search;Mechanical Keyboard;Electronics;1;79,9;38,0;10;0;79,9;7,99;71,91;33,91
O01079;2025-01-05;C0114;Atyrau;Organic;Mechanical Keyboard;Electronics;1;79,9;38,0;20;6,99;79,9;15,98;70,91;32,91
O01127;2025-01-05;C0154;Shymkent;Social Media;Laptop Stand;Office;2;34,9;14,0;20;4,99;69,8;13,96;60,83;32,83
O01132;2025-01-05;C0256;Atyrau;Social Media;Desk Lamp;Home;1;29,9;11,8;15;4,99;29,9;4,49;30,41;18,61
O00518;2025-01-06;C0330;Astana;Referral;USB-C Cable;Electronics;3;9,9;3,2;5;0;29,7;1,49;28,22;18,62
O00562;2025-01-06;C0284;Aktobe;Paid Search;Notebook Set;Office;2;12,5;4,1;15;4,99;25,0;3,75;26,24;18,04
O00746;2025-01-06;C0328;Astana;Social Media;Wireless Mouse;Electronics;1;24,9;10,5;5;2,99;24,9;1,25;26,64;16,14
O00974;2025-01-06;C0241;Astana;Social Media;Desk Lamp;Home;2;29,9;11,8;5;0;59,8;2,99;56,81;33,21
O00082;2025-01-07;C0216;Karaganda;Organic;Coffee Mug;Home;2;11,9;3,9;0;4,99;23,8;0,0;28,79;20,99
O00315;2025-01-07;C0009;Aktobe;Social Media;Yoga Mat;Sports;2;26,9;9,7;0;6,99;53,8;0,0;60,79;41,39
O00461;2025-01-07;C0320;Aktobe;Referral;Resistance Bands;Sports;1;18,9;6,2;0;6,99;18,9;0,0;25,89;19,69
O00674;2025-01-07;C0107;Atyrau;Email;Notebook Set;Office;1;12,5;4,1;0;0;12,5;0,0;12,5;8,4
O00732;2025-01-07;C0235;Karaganda;Email;USB-C Cable;Electronics;5;9,9;3,2;0;4,99;49,5;0,0;54,49;38,49
O00803;2025-01-07;C0148;Karaganda;Email;Coffee Mug;Home;1;11,9;3,9;0;6,99;11,9;0,0;18,89;14,99
O01187;2025-01-07;C0060;Almaty;Email;Notebook Set;Office;1;12,5;4,1;5;2,99;12,5;0,62;14,87;10,77
O00274;2025-01-08;C0173;Shymkent;Referral;USB-C Cable;Electronics;2;9,9;3,2;5;2,99;19,8;0,99;21,8;15,4
O00852;2025-01-08;C0220;Atyrau;Paid Search;Laptop Stand;Office;2;34,9;14,0;15;4,99;69,8;10,47;64,32;36,32
O00255;2025-01-09;C0189;Shymkent;Organic;Resistance Bands;Sports;2;18,9;6,2;5;6,99;37,8;1,89;42,9;30,5
O00322;2025-01-09;C0107;Aktobe;Paid Search;Resistance Bands;Sports;2;18,9;6,2;0;4,99;37,8;0,0;42,79;30,39
O00856;2025-01-09;C0246;Atyrau;Social Media;Desk Lamp;Home;1;29,9;11,8;5;0;29,9;1,5;28,4;16,6
O01075;2025-01-09;C0069;Atyrau;Organic;Desk Lamp;Home;1;29,9;11,8;20;4,99;29,9;5,98;28,91;17,11
O00019;2025-01-10;C0058;Shymkent;Social Media;Resistance Bands;Sports;4;18,9;6,2;5;6,99;75,6;3,78;78,81;54,01
O00193;2025-01-10;C0186;Shymkent;Paid Search;Mechanical Keyboard;Electronics;2;79,9;38,0;0;4,99;159,8;0,0;164,79;88,79
O00494;2025-01-10;C0347;Almaty;Paid Search;Wireless Mouse;Electronics;4;24,9;10,5;10;2,99;99,6;9,96;92,63;50,63
O00498;2025-01-10;C0117;Astana;Paid Search;USB-C Cable;Electronics;4;9,9;3,2;15;6,99;39,6;5,94;40,65;27,85
O00573;2025-01-10;C0260;Atyrau;Organic;Notebook Set;Office;2;12,5;4,1;5;0;25,0;1,25;23,75;15,55
O00433;2025-01-11;C0270;Karaganda;Organic;Yoga Mat;Sports;1;26,9;9,7;0;2,99;26,9;0,0;29,89;20,19
O01110;2025-01-11;C0347;Astana;Email;Laptop Stand;Office;1;34,9;14,0;15;0;34,9;5,24;29,66;15,66
O01167;2025-01-11;C0316;Almaty;Social Media;Resistance Bands;Sports;2;18,9;6,2;20;2,99;37,8;7,56;33,23;20,83
O00133;2025-01-12;C0338;Karaganda;Social Media;Water Bottle;Sports;1;15,9;4,8;0;4,99;15,9;0,0;20,89;16,09
O00420;2025-01-12;C0034;Astana;Email;Mechanical Keyboard;Electronics;2;79,9;38,0;0;0;159,8;0,0;159,8;83,8
O00684;2025-01-12;C0142;Aktobe;Referral;Notebook Set;Office;5;12,5;4,1;0;4,99;62,5;0,0;67,49;46,99
O00552;2025-01-13;C0265;Shymkent;Referral;Mechanical Keyboard;Electronics;1;79,9;38,0;5;4,99;79,9;4,0;80,89;42,89
O00824;2025-01-13;C0304;Astana;Email;Yoga Mat;Sports;2;26,9;9,7;0;2,99;53,8;0,0;56,79;37,39
O00427;2025-01-14;C0164;Aktobe;Paid Search;Water Bottle;Sports;2;15,9;4,8;0;2,99;31,8;0,0;34,79;25,19
O00640;2025-01-14;C0204;Aktobe;Organic;Mechanical Keyboard;Electronics;1;79,9;38,0;15;0;79,9;11,98;67,92;29,92
